taxon
Adineta vaga
Anochetus pattersoni
Anoplolepis gracilipes
Aphis spiraecola
Argiope keyserlingi
Atheta crassicornis
Bactra blepharopis
Blattella lituricollis
Brachymeria compsilurae
Chalybion japonicum
Cheilomenes sexmaculata
Coleosoma sp.
Creontiades pacificus
Cryptophlebia ombrodelta
Diachus auratus
Dioxyna picciola
Drosophila ananassae
Dudua aprobola
Euconocephalus nasutus
Herpetogramma hipponalis
Herpetogramma licarsisalis
Heteroderes amplicollis
Heteropsis drepana
Ischiodon scutellaris
Kallitaxila sinica
Kiefferulus tainanus
Lepidemathis haemorrhoidalis
Liriomyza trifolii
Megaselia scalaris
Mocis frugalis
Monomorium floricola
Napeogenes sodalis
Nysius niger
Odontomachus simillimus
Oxya
Oxya sp. JH-2012
Paratrechina longicornis
Pheidole cf. sauteri
Polypedilum nubifer
Pycnoscelus surinamensis
Rickettsia bellii
Sarcophaga harpax
Sarcophaga taenionota
Scatopsciara sibirica
Setomorpha rutella
Spodoptera mauritia
Stegasta variana
Stenocatantops splendens
Stenocatantops splendens
Tetramorium bicarinatum
Wolbachia endosymbiont
Wolbachia sp.
Zizina labradus
